#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Protein product	Length	Protein name
Un	NW_003816422.1	172371	198622	+	100914328	GLRX3	XP_012397019.1	541	PREDICTED: glutaredoxin-3
Un	NW_003816422.1	1337790	1618944	-	100913544	TCERG1L	XP_003754910.2	570	PREDICTED: transcription elongation regulator 1-like protein
Un	NW_003816424.1	14120	48267	-	100915365	MKI67	XP_012395047.1	3472	PREDICTED: antigen KI-67
Un	NW_003816425.1	36309	36977	-	100915628	NEUROG3	XP_003754915.1	222	PREDICTED: neurogenin-3
Un	NW_003816425.1	89538	92803	+	100916147	C1H10orf35	XP_003754917.1	120	PREDICTED: uncharacterized protein C10orf35 homolog
Un	NW_003816426.1	151909	247137	+	100917197	COL13A1	XP_012397471.1	568	PREDICTED: collagen alpha-1(XIII) chain, partial
Un	NW_003816426.1	368510	401050	+	100917453	LOC100917453	XP_003754921.1	372	PREDICTED: core histone macro-H2A.2
Un	NW_003816426.1	404298	411643	-	100916406	AIFM2	XP_012403805.1	218	PREDICTED: apoptosis-inducing factor 2
Un	NW_003816426.1	429422	434422	-	100917713	TYSND1	XP_012398140.1	249	PREDICTED: LOW QUALITY PROTEIN: peroxisomal leader peptide-processing protease
Un	NW_003816426.1	440536	447558	-	100916668	SAR1A	XP_003754919.1	198	PREDICTED: GTP-binding protein SAR1a
Un	NW_003816426.1	475199	514006	-	100917974	PPA1	XP_012398806.1	308	PREDICTED: inorganic pyrophosphatase
Un	NW_003816426.1	526567	561485	-	100918234	LRRC20	XP_012402595.1	185	PREDICTED: leucine-rich repeat-containing protein 20
Un	NW_003816426.1	568148	618011	+	100918495	EIF4EBP2	XP_012399464.1	192	PREDICTED: eukaryotic translation initiation factor 4E-binding protein 2
Un	NW_003816426.1	628682	635354	-	100918755	NODAL	XP_012399991.1	322	PREDICTED: nodal homolog
Un	NW_003816426.1	696680	738228	+	100919016	PALD1	XP_003754926.1	609	PREDICTED: paladin
Un	NW_003816426.1	761967	770464	-	100919278	PRF1	XP_003754927.1	592	PREDICTED: perforin-1
Un	NW_003816427.1	716313	718154	+	100922671	LINGO1	XP_012404476.1	589	PREDICTED: leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1
